Chizitos x 3 Uni. x 3 Kilos Naranja
Chizitos x 8 Uni. x 1 Kilo Naranja
Chizitos x 16 Uni. x 400 Gr. Naranja
Chizitos 40 Gr. 12 x 15 Uni. Naranja
Chizitos x 3 Uni. x 3 Kilos Amarillo
Chizitos x 8 Uni. x 1 Kilo Amarillo
Chizitos x 16 Uni. x 400 Gr. Amarillo
Chizitos 40 Gr. 12 x 15 Uni. Amarillo
Chizitos Tubos  3 Uni. x 3 Kilos
Chizitos Tubos  8 Uni. x 1 Kilo
Chizitos Tubos  16 Uni. x 1 Kilo
Pizzetas C/Orégano 3 Uni. x 3 Kilos
Pizzetas C/Orégano 10 Uni. x 1 Kilo
Pizzetas C/Orégano 25 Uni. x 400 Gr.
Pizzetas C/Orégano 40 Gr. 12 x 15 Uni. (180 Paq.)
Papas Clásicas  6 Uni. x 1 Kilo
Papas Clásicas  12 Uni. x 400 Gr.
Papas Acanaladas  6 Uni. x 1 Kilo
Papas Pay  6 Uni. x 1 Kilo
Conitos 3D 15 Uni. X 500 Gr.
Nachitos (cascarones) 15 Uni. X 400 Gr.
Pancetas 15 Uni. X 500 Gr.
Puflitos Multicolor 3 Uni. x 3 Kilos
Puflitos Multicolor 10 Uni. x 1 Kilo
Puflitos Multicolor 16 Uni. x 400 Gr.
Puflitos Multicolor  40 Gr. 12 x 15 Uni.
Tutucas x 1 Kilo
Tutucas x 400 Gr.
Tutucas 40 Gr. 12 x 15 Uni.
Flores Multicolores 10 Uni. x 1 Kilo Sab. Tuti-Fruti
Flores Multi 40 Gr. 12 x 15
Flores Multicolores 3 Uni. x 3 Kilos
Palitos Clásicos Cortos 20 Uni x 1 Kilo
Palitos Sab.  Jamón. Orégano. Cheedar. Queso. Pizza. 15 Uni x Kilo
